event_id,hit_second_leg,first_hit_minute,final_opposite_prob,first_leg_wins_if_unhedged,pnl_per_contract
sim_000318,False,,0.6569551691413306,False,-0.4
sim_000319,False,,0.5650548767565576,False,-0.4
sim_000320,False,,0.6825102196348426,False,-0.4
sim_000321,False,,0.5755590951755888,False,-0.4
sim_000322,False,,0.7469933646399818,False,-0.4
sim_000323,False,,0.5675041527520864,True,0.6
sim_000324,False,,0.6794245218127388,False,-0.4
sim_000325,False,,0.5465844560499588,False,-0.4
sim_000326,False,,0.5557563939596745,False,-0.4
sim_000327,False,,0.6114901389691348,True,0.6
sim_000328,False,,0.647145692588911,False,-0.4
sim_000329,False,,0.7535216257629557,False,-0.4
sim_000330,False,,0.5577687239390374,False,-0.4
sim_000331,False,,0.45059663260139093,True,0.6
sim_000332,False,,0.6282180341477317,False,-0.4
sim_000333,False,,0.5756537496606655,True,0.6
sim_000334,False,,0.6619678466016002,False,-0.4
sim_000335,False,,0.694766573902848,True,0.6
sim_000336,False,,0.5264743682645325,True,0.6
sim_000337,False,,0.6938572749822912,True,0.6
sim_000338,False,,0.5367362832229364,False,-0.4
sim_000339,False,,0.5002950304797991,True,0.6
sim_000340,False,,0.572127517182024,True,0.6
sim_000341,False,,0.5968554141909646,True,0.6
sim_000342,False,,0.6676720261303146,False,-0.4
sim_000343,False,,0.602546145553319,True,0.6
sim_000344,False,,0.6976993261583745,False,-0.4
sim_000345,False,,0.54894597450771,False,-0.4
sim_000346,False,,0.623045437619592,False,-0.4
sim_000347,False,,0.5885175729003419,True,0.6
sim_000348,False,,0.5884797906272643,False,-0.4
sim_000349,False,,0.6380040928327957,False,-0.4
sim_000350,False,,0.5953754438819089,False,-0.4
sim_000351,False,,0.6038135208246228,False,-0.4
sim_000352,False,,0.5799717334055086,False,-0.4
sim_000353,False,,0.6144330258458961,True,0.6
sim_000354,False,,0.5719858669591006,False,-0.4
sim_000355,False,,0.688431665880271,False,-0.4
sim_000356,False,,0.5812962664274578,True,0.6
sim_000357,False,,0.7207205849873601,False,-0.4
sim_000358,False,,0.6225902537582958,False,-0.4
sim_000359,False,,0.4820888903377808,False,-0.4
sim_000360,False,,0.5687328091770971,True,0.6
sim_000361,False,,0.6672245359567146,False,-0.4
sim_000362,False,,0.6451256250288346,False,-0.4
sim_000363,False,,0.5987403162440399,True,0.6
sim_000364,False,,0.5768819478653381,False,-0.4
sim_000365,False,,0.6104306440567218,False,-0.4
sim_000366,False,,0.6403969898241445,False,-0.4
sim_000367,False,,0.7524065185552561,False,-0.4
sim_000368,False,,0.6728734081300901,False,-0.4
sim_000369,False,,0.5091650012342879,False,-0.4
sim_000370,False,,0.6390837178109696,True,0.6
sim_000371,False,,0.5866524887540909,False,-0.4
sim_000372,False,,0.6622947700885617,False,-0.4
sim_000373,False,,0.6916955180919248,True,0.6
sim_000374,False,,0.8360526988024471,False,-0.4
sim_000375,False,,0.6059261314146098,False,-0.4
sim_000376,False,,0.5319808529349382,False,-0.4
sim_000377,False,,0.6463723119094524,True,0.6
sim_000378,False,,0.6246414112407469,False,-0.4
sim_000379,False,,0.570045411902856,True,0.6
sim_000380,False,,0.56795630597582,False,-0.4
sim_000381,False,,0.6270900884253184,True,0.6
sim_000382,False,,0.42675641296408795,True,0.6
sim_000383,False,,0.6277077634468832,False,-0.4
sim_000384,False,,0.6537782931638447,False,-0.4
sim_000385,False,,0.6159065285016322,False,-0.4
sim_000386,False,,0.5421097442806103,True,0.6
sim_000387,False,,0.6619214416841476,False,-0.4
sim_000388,False,,0.7855459635777993,False,-0.4
sim_000389,False,,0.6517994548416916,False,-0.4
sim_000390,False,,0.655117839702405,True,0.6
sim_000391,False,,0.6537191640905589,False,-0.4
sim_000392,False,,0.5248864236004106,True,0.6
sim_000393,False,,0.5113547940187521,True,0.6
sim_000394,False,,0.6174224580973727,False,-0.4
sim_000395,False,,0.5309278139796919,False,-0.4
sim_000396,True,34.0,0.4033528060561523,False,0.19499999999999995
sim_000397,False,,0.6301641428994336,True,0.6
sim_000398,False,,0.550509352514076,False,-0.4
sim_000399,False,,0.4713494915758331,True,0.6
sim_000400,False,,0.6349135831433019,True,0.6
sim_000401,False,,0.5334009970337427,False,-0.4
sim_000402,False,,0.5368851689515399,True,0.6
sim_000403,False,,0.5477123195920368,False,-0.4
sim_000404,False,,0.5391042448975175,True,0.6
sim_000405,False,,0.586229698609577,True,0.6
sim_000406,False,,0.5596659472511656,True,0.6
sim_000407,False,,0.7802791344493267,False,-0.4
sim_000408,False,,0.4694375609075253,True,0.6
sim_000409,False,,0.5628922738783471,True,0.6
sim_000410,False,,0.6482292622389745,False,-0.4
